Gr Liv Area,Lot Area,Total Bsmt SF,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Bedroom AbvGr,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Neighborhood,Central Air,Sale Condition,SalePrice
1656,31770,1080.0,6,5,1960,1960,3,1,0,7,2,2.0,528.0,NAmes,Y,Normal,215000
896,11622,882.0,5,6,1961,1961,2,1,0,5,0,1.0,730.0,NAmes,Y,Normal,105000
1329,14267,1329.0,6,6,1958,1958,3,1,1,6,0,1.0,312.0,NAmes,Y,Normal,172000
2110,11160,2110.0,7,5,1968,1968,3,2,1,8,2,2.0,522.0,NAmes,Y,Normal,244000
1629,13830,928.0,5,5,1997,1998,3,2,1,6,1,2.0,482.0,Gilbert,Y,Normal,189900
1604,9978,926.0,6,6,1998,1998,3,2,1,7,1,2.0,470.0,Gilbert,Y,Normal,195500
1338,4920,1338.0,8,5,2001,2001,2,2,0,6,0,2.0,582.0,StoneBr,Y,Normal,213500
1280,5005,1280.0,8,5,1992,1992,2,2,0,5,0,2.0,506.0,StoneBr,Y,Normal,191500
1616,5389,1595.0,8,5,1995,1996,2,2,0,5,1,2.0,608.0,StoneBr,Y,Normal,236500
1804,7500,994.0,7,5,1999,1999,3,2,1,7,1,2.0,442.0,Gilbert,Y,Normal,189000
1655,10000,763.0,6,5,1993,1994,3,2,1,7,1,2.0,440.0,Gilbert,Y,Normal,175900
1187,7980,1168.0,6,7,1992,2007,3,2,0,6,0,2.0,420.0,Gilbert,Y,Normal,185000
1465,8402,789.0,6,5,1998,1998,3,2,1,7,1,2.0,393.0,Gilbert,Y,Normal,180400
1341,10176,1300.0,7,5,1990,1990,2,1,1,5,1,2.0,506.0,Gilbert,Y,Normal,171500
1502,6820,1488.0,8,5,1985,1985,1,1,1,4,0,2.0,528.0,StoneBr,Y,Normal,212000
3279,53504,1650.0,8,5,2003,2003,4,3,1,12,1,3.0,841.0,StoneBr,Y,Normal,538000
1752,12134,559.0,8,7,1988,2005,4,2,0,8,0,2.0,492.0,Gilbert,Y,Normal,164000
1856,11394,1856.0,9,2,2010,2010,1,1,1,8,1,3.0,834.0,StoneBr,Y,Partial,394432
864,19138,864.0,4,5,1951,1951,2,1,0,4,0,2.0,400.0,Gilbert,Y,Normal,141000
2073,13175,1542.0,6,6,1978,1988,3,2,0,7,2,2.0,500.0,NWAmes,Y,Normal,210000
1844,11751,1844.0,6,6,1977,1977,3,2,0,7,1,2.0,546.0,NWAmes,Y,Normal,190000
1173,10625,1053.0,7,6,1974,1974,3,2,0,6,2,2.0,528.0,NWAmes,Y,Family,170000
1674,7500,814.0,7,5,2000,2000,3,2,1,7,0,2.0,663.0,Somerst,Y,Normal,216000
1004,11241,1004.0,6,7,1970,1970,2,1,0,5,1,2.0,480.0,NAmes,Y,Normal,149000
1078,12537,1078.0,5,6,1971,2008,3,1,1,6,1,2.0,500.0,NAmes,Y,Normal,149900
1056,8450,1056.0,5,6,1968,1968,3,1,0,6,1,1.0,304.0,NAmes,Y,Normal,142000
882,8400,882.0,4,5,1970,1970,2,1,0,4,0,2.0,525.0,NAmes,Y,Normal,126000
864,10500,864.0,4,5,1971,1971,3,1,0,5,1,0.0,0.0,NAmes,Y,Normal,115000
1337,5858,1405.0,7,5,1999,1999,2,2,0,5,1,2.0,511.0,NAmes,Y,Normal,184000
987,1680,483.0,6,5,1971,1971,2,1,1,5,0,1.0,264.0,BrDale,Y,Normal,96000
